City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,26,15,25,0.53,8,57,47,2
阿克苏地区,127,96,188,2.7,65,11,10,8
阿拉善盟,40,13,20,0.27,6,79,79,8
阿勒泰地区,30,0,5,0.5,27,54,59,5
阿里地区,22,10,14,0.6,22,43,42,15
安康,126,95,137,1.07,29,12,7,7
安庆,64,45,51,1.01,29,62,54,13
鞍山,56,38,60,0.76,18,97,74,12
安顺,33,23,26,0.57,14,32,18,30
安阳,239,188,240,2.33,79,20,12,24
白城,92,50,132,0.95,17,58,51,28
百色,81,59,68,1.0,24,19,8,8
白山,126,95,140,1.35,19,67,17,19
白银,54,13,56,0.7,29,55,33,14
保定,149,114,183,2.3,88,12,6,20
宝鸡,67,40,82,0.94,33,47,19,13
保山,52,28,51,0.65,21,51,36,10
包头,27,6,26,0.83,12,56,36,9
巴彦淖尔,39,21,38,0.53,8,62,55,10
巴中,146,111,147,1.0,31,9,4,4
北海,104,77,77,1.08,15,120,67,12
北京,196,147,160,1.92,67,16,4,9
蚌埠,82,60,83,0.55,29,61,40,14
本溪,43,30,42,1.18,25,71,69,28
毕节,72,52,62,0.9,17,33,14,11
滨州,61,43,55,1.0,27,61,27,21
博州,75,54,93,0.85,31,23,29,16
亳州,83,61,86,1.05,20,68,29,10
沧州,104,77,114,1.23,33,41,11,20
长春,148,113,60,1.52,52,32,35,21
常德,64,45,47,0.68,21,24,15,4
昌都,33,19,32,0.9,13,55,47,8
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,185,139,293,2.07,36,28,36,12
长沙,89,66,81,1.47,48,20,13,17
常熟,70,42,87,0.87,62,12,12,11
长治,89,63,125,1.64,61,28,14,39
常州,92,68,92,0.95,53,46,28,12
朝阳,193,145,295,1.38,33,20,16,33
潮州,82,60,71,0.97,24,63,45,10
承德,143,109,182,2.76,68,11,8,31
成都,115,86,127,1.02,51,22,19,13
郴州,94,70,87,1.32,37,35,15,46
赤峰,136,103,162,1.55,40,23,22,64
池州,59,41,54,1.0,36,56,33,9
重庆,69,49,71,0.92,43,13,9,7
崇左,127,96,166,1.2,43,68,26,21
楚雄州,35,24,34,0.85,27,56,15,11
滁州,94,70,86,0.83,25,69,36,9
大连,109,81,107,0.94,27,77,72,12
大理州,29,20,18,0.65,12,55,43,7
丹东,56,36,60,0.85,17,63,42,16
大庆,90,34,127,0.53,17,57,54,16
大同,79,52,106,1.6,34,38,16,27
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,46,32,16,0.3,13,30,23,35
达州,248,197,318,1.9,71,43,41,17
德宏州,51,28,50,0.75,17,26,13,13
德阳,110,82,130,0.98,50,8,9,5
德州,80,58,82,0.83,23,54,27,19
定西,87,59,122,0.85,25,37,16,25
迪庆州,58,40,0,0.65,10,72,58,4
东莞,115,86,129,1.1,78,70,26,29
东营,50,29,49,0.53,24,73,31,14
鄂尔多斯,42,12,41,0.64,15,66,64,12
恩施州,70,50,64,0.8,25,19,10,4
鄂州,69,49,68,1.33,35,40,16,15
防城港,109,81,112,1.3,27,89,48,14
佛山,102,75,152,1.23,103,49,14,25
抚顺,98,73,126,1.36,44,64,51,24
阜新,175,132,152,1.12,30,34,30,32
阜阳,92,68,87,0.83,19,64,43,3
富阳,0,0,0,0.0,0,0,0,0
福州,60,25,67,0.45,35,41,35,7
抚州,69,48,86,1.0,35,45,18,16
甘南州,71,51,80,1.2,41,39,16,108
赣州,77,56,91,1.16,33,66,27,26
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,46,20,45,0.45,41,39,38,9
广安,104,77,112,0.8,27,15,5,7
广元,114,85,123,0.78,46,12,10,18
广州,89,63,126,1.12,85,53,19,12
贵港,115,86,141,1.4,41,82,21,24
桂林,142,108,179,1.7,75,8,3,63
贵阳,64,45,62,1.07,24,13,9,23
果洛州,46,16,45,1.5,23,87,56,60
固原,44,13,43,0.53,15,65,45,9
哈尔滨,133,101,122,1.11,68,23,25,35
海北州,30,10,20,0.6,7,74,59,6
海东地区,60,32,68,1.2,57,13,7,24
海口,49,23,30,0.9,11,102,96,4
海门,40,25,39,0.6,40,18,23,13
海南州,53,36,43,1.8,42,47,36,39
海西州,39,11,23,0.7,17,78,77,11
哈密地区,104,59,156,2.0,58,32,17,14
邯郸,210,159,227,2.2,94,20,11,18
杭州,79,56,106,1.2,63,21,10,8
汉中,146,111,155,1.83,48,11,6,18
鹤壁,138,105,130,2.03,51,26,22,19
河池,76,55,77,1.0,25,19,13,15
合肥,54,37,52,0.67,47,34,27,8
鹤岗,46,29,45,0.68,6,59,54,15
黑河,31,17,30,0.35,9,39,36,8
衡水,253,202,261,2.23,78,18,10,16
衡阳,114,85,105,1.68,40,12,7,19
和田地区,226,175,307,2.0,51,42,34,36
河源,66,47,73,1.13,27,67,28,17
菏泽,81,59,94,0.77,18,60,44,10
贺州,99,74,105,1.0,34,52,12,11
红河州,69,44,86,1.1,21,43,20,42
淮安,71,51,53,0.88,26,48,20,6
淮北,104,77,110,0.83,37,63,19,13
怀化,69,49,67,0.92,25,22,14,6
淮南,76,55,67,0.64,24,59,22,11
黄冈,65,43,77,0.9,32,49,27,14
黄南州,41,18,40,0.9,17,67,60,17
黄山,64,45,65,0.8,19,53,26,6
黄石,67,48,73,0.95,41,46,19,24
呼和浩特,35,6,34,0.55,11,56,28,10
惠州,74,45,96,1.0,42,70,35,12
葫芦岛,131,99,122,1.65,48,11,7,29
呼伦贝尔,30,11,21,0.3,8,59,59,4
湖州,103,76,112,1.17,77,32,25,17
佳木斯,83,61,88,0.64,16,47,27,14
吉安,89,66,115,1.33,45,45,16,32
江门,87,62,122,1.3,95,47,20,17
江阴,91,67,78,1.33,75,8,7,15
胶南,71,51,88,1.1,28,59,35,12
胶州,184,138,200,1.5,76,29,21,23
焦作,100,75,120,1.2,39,69,55,15
嘉兴,100,75,100,1.17,85,14,13,17
嘉峪关,33,9,23,0.4,13,70,65,5
揭阳,127,96,0,1.15,48,47,32,10
吉林,53,36,54,0.76,19,87,70,16
即墨,109,81,105,1.1,36,52,35,15
济南,32,17,31,0.47,19,84,56,9
金昌,35,6,15,0.37,4,82,69,4
晋城,137,104,184,4.85,64,43,15,64
景德镇,62,43,72,0.88,29,22,8,27
荆门,119,89,138,0.96,24,25,27,6
荆州,75,54,77,1.07,20,24,22,4
金华,99,74,111,0.97,58,46,13,21
济宁,158,120,119,1.2,42,54,39,28
金坛,74,53,63,1.05,55,14,7,8
晋中,72,49,91,1.3,58,26,10,79
锦州,245,194,252,2.2,50,8,7,50
九江,71,51,62,0.58,36,19,24,8
酒泉,33,20,28,0.35,5,74,65,5
鸡西,86,63,88,1.4,27,47,33,17
句容,92,68,110,1.2,44,14,6,7
开封,127,96,109,0.9,22,62,42,10
喀什地区,305,254,296,4.47,79,13,16,13
克拉玛依,69,49,70,1.1,41,19,15,5
克州,130,98,153,1.6,56,28,30,18
库尔勒,93,61,134,1.23,36,44,41,4
昆明,27,16,26,0.68,16,74,42,11
昆山,59,41,53,1.15,57,14,9,10
来宾,132,100,131,1.4,31,79,23,25
莱芜,88,65,99,0.67,18,89,77,10
莱西,200,150,207,1.15,38,54,35,22
莱州,66,47,74,0.7,18,88,55,16
廊坊,171,129,186,2.27,83,8,5,17
兰州,73,38,93,2.07,61,34,23,42
拉萨,54,20,55,0.82,21,49,37,5
乐山,119,89,118,0.84,22,53,30,10
凉山州,57,39,62,1.08,29,42,22,22
连云港,126,95,96,1.16,40,54,33,17
聊城,59,41,55,0.77,22,65,47,7
辽阳,91,67,48,1.05,24,66,78,12
辽源,80,58,65,0.85,17,91,52,11
丽江,32,11,19,0.63,7,77,62,6
临安,74,53,61,1.2,27,23,11,2
临沧,48,33,34,0.8,10,50,32,10
临汾,97,72,108,1.77,45,46,26,43
临夏州,94,67,135,0.8,30,42,12,30
临沂,147,112,186,1.4,46,67,21,25
林芝,28,3,15,0.25,5,62,54,8
林芝地区,18,4,16,0.35,6,51,35,3
丽水,70,33,87,0.73,34,56,16,10
六盘水,104,77,128,2.2,36,32,16,33
柳州,144,110,142,1.65,56,31,13,51
溧阳,120,90,143,1.3,58,7,3,6
陇南,60,32,68,0.5,36,20,10,24
龙岩,63,43,74,0.88,47,37,14,14
娄底,81,59,74,1.4,25,25,24,14
六安,74,53,66,0.75,26,64,27,6
漯河,127,96,103,0.55,19,47,21,5
洛阳,115,86,132,0.73,23,53,15,14
泸州,63,44,68,0.83,47,6,4,5
吕梁,100,75,145,1.4,62,10,6,60
马鞍山,86,63,68,1.08,46,27,11,14
茂名,86,63,84,1.13,22,86,65,16
眉山,86,63,97,0.9,41,20,17,14
梅州,59,41,63,0.9,33,56,21,15
绵阳,98,73,110,0.73,34,10,11,6
牡丹江,94,70,96,0.92,45,33,23,43
南昌,87,64,101,1.09,52,26,11,73
南充,120,90,117,0.73,20,44,26,12
南京,100,75,93,1.23,55,26,9,10
南宁,109,81,121,1.27,49,64,17,21
南平,54,26,55,0.55,17,52,34,12
南通,59,41,43,0.78,60,6,6,12
南阳,122,92,110,0.98,23,51,26,8
那曲地区,63,36,74,1.07,12,49,36,5
内江,65,46,69,1.1,38,17,7,10
宁波,28,12,27,0.49,20,63,39,8
宁德,62,37,71,0.8,33,46,27,9
怒江州,54,24,56,0.85,16,32,15,8
盘锦,203,152,206,1.53,49,21,18,18
攀枝花,67,48,68,3.34,51,24,9,54
蓬莱,0,0,0,0.0,0,0,0,0
平顶山,128,97,115,1.0,25,42,22,9
平度,137,104,163,1.3,35,66,34,24
平凉,57,24,61,0.3,12,68,21,5
萍乡,116,87,135,2.5,39,15,7,57
普洱,42,29,37,0.55,14,38,15,7
莆田,57,29,62,0.52,22,42,43,6
濮阳,115,86,0,0.85,19,55,44,10
黔东南州,33,23,29,0.75,24,9,11,15
黔南州,36,22,35,0.9,27,11,17,22
黔西南州,41,22,40,0.85,19,19,15,5
青岛,117,88,142,0.98,43,53,38,9
庆阳,63,21,73,0.63,13,65,46,16
清远,79,56,105,0.9,57,51,20,16
秦皇岛,139,106,144,2.3,63,12,7,22
钦州,115,86,126,1.43,35,87,40,24
齐齐哈尔,88,65,101,0.68,25,41,35,43
七台河,91,67,119,0.87,30,51,36,19
泉州,56,32,59,0.35,34,41,48,5
曲靖,28,19,22,0.5,9,84,44,7
衢州,75,54,76,1.37,49,60,20,27
日喀则,30,21,28,0.6,4,52,20,4
日喀则地区,29,6,27,0.35,2,68,56,5
日照,161,122,164,1.1,41,46,17,14
荣成,47,26,46,0.7,48,56,75,5
乳山,117,88,85,1.3,41,50,44,10
三门峡,72,52,68,0.73,23,41,15,19
三明,55,30,57,0.9,26,51,17,12
三沙,30,7,20,0.3,30,51,58,6
三亚,26,11,25,0.8,21,55,41,4
上海,50,35,40,0.57,57,32,23,9
商洛,55,38,58,0.9,26,50,22,19
商丘,228,177,204,1.33,36,35,24,9
上饶,85,62,105,1.2,44,49,18,31
山南,40,17,39,0.5,17,58,42,3
山南地区,40,5,21,0.45,6,65,79,4
汕头,81,59,54,0.9,41,55,43,11
汕尾,69,49,0,0.77,20,52,63,7
韶关,69,45,86,0.9,39,66,18,28
绍兴,76,25,100,0.79,32,62,32,7
邵阳,106,79,83,1.0,33,21,11,15
沈阳,226,175,219,1.71,54,25,37,22
深圳,71,51,89,0.84,44,64,49,7
石河子,124,93,122,1.3,36,24,13,19
石家庄,130,98,170,3.0,75,17,10,26
十堰,75,54,91,0.88,33,32,21,6
石嘴山,63,16,74,0.6,16,65,59,22
寿光,43,30,40,0.55,20,60,37,15
双鸭山,178,134,181,1.43,39,25,17,30
朔州,42,17,41,0.56,12,71,53,16
四平,191,143,196,2.07,44,35,31,16
松原,141,107,145,1.25,32,37,16,22
绥化,66,47,74,0.6,28,46,33,23
遂宁,72,52,75,0.98,33,10,6,9
随州,92,68,97,1.13,23,43,12,6
宿迁,94,70,76,0.86,26,47,18,10
苏州,119,89,93,1.04,76,14,7,8
宿州,94,70,92,0.57,17,73,20,6
塔城地区,27,9,23,0.9,15,65,53,4
泰安,45,21,44,0.47,23,74,51,11
太仓,36,16,35,0.8,58,23,8,12
太原,78,54,103,1.55,54,37,25,49
台州,81,52,109,1.0,67,14,9,9
泰州,120,90,113,1.27,67,8,4,7
唐山,160,121,188,1.98,78,11,7,27
天津,128,97,127,1.49,57,62,33,19
天水,86,63,104,1.73,52,29,28,26
铁岭,225,174,195,1.25,40,41,47,9
铜川,61,43,69,0.75,31,57,26,20
通化,32,17,31,0.7,15,70,36,12
通辽,220,169,193,1.05,39,38,50,40
铜陵,81,59,81,1.45,45,30,27,31
铜仁地区,67,48,54,1.05,26,11,10,2
吐鲁番地区,188,141,218,3.25,65,16,11,16
瓦房店,0,0,0,0.0,0,0,0,0
潍坊,78,57,81,0.62,31,58,31,9
威海,97,72,87,0.93,41,51,76,5
渭南,200,150,219,1.88,74,13,6,31
文登,64,42,76,0.8,50,35,54,7
文山州,45,28,44,0.95,16,22,17,5
温州,79,50,105,0.78,72,20,9,14
乌海,42,17,41,0.5,10,68,63,11
武汉,74,53,58,0.93,32,37,19,9
芜湖,71,51,20,1.24,43,31,17,17
吴江,94,70,123,1.85,75,9,5,25
五家渠,281,230,327,3.7,64,12,6,9
乌兰察布,22,9,16,0.25,7,65,42,17
乌鲁木齐,237,186,212,2.6,68,17,16,9
武威,28,16,27,0.5,13,77,42,11
无锡,75,54,73,1.08,58,7,2,7
吴忠,66,36,79,0.83,31,32,13,28
梧州,80,58,104,1.33,43,61,22,24
厦门,65,46,26,0.75,45,33,33,5
西安,171,129,168,1.38,70,19,8,18
湘潭,110,82,94,1.73,48,18,11,21
湘西州,63,44,61,1.23,28,11,6,7
襄阳,130,98,0,0.88,25,28,13,7
咸宁,40,28,31,0.88,9,52,34,7
咸阳,175,132,173,1.44,69,21,16,11
孝感,64,45,62,1.0,18,38,26,5
锡林郭勒盟,27,7,20,0.35,5,48,53,54
兴安盟,122,38,191,0.4,8,62,57,9
邢台,171,129,199,2.2,91,22,9,27
西宁,99,74,101,3.3,64,24,18,37
新乡,120,90,135,1.27,49,36,16,26
信阳,71,51,69,0.73,27,58,37,5
新余,75,54,96,1.68,42,25,11,63
忻州,150,115,162,2.17,71,14,10,65
西双版纳州,61,41,70,0.8,22,13,4,7
宣城,67,48,44,1.2,36,35,33,5
许昌,122,92,92,1.2,28,33,17,9
徐州,119,89,122,1.0,34,53,16,14
雅安,154,117,150,0.95,33,17,10,15
延安,60,39,67,1.25,51,20,9,20
延边州,85,62,98,1.07,38,38,18,22
盐城,98,73,96,0.8,41,40,24,8
阳江,70,50,52,1.07,25,93,92,7
阳泉,80,58,104,1.48,51,38,16,79
扬州,85,62,108,1.0,55,26,24,7
烟台,124,93,131,0.98,50,61,57,14
宜宾,97,72,79,0.88,30,9,2,4
宜昌,181,136,164,1.16,37,16,8,9
宜春,77,56,86,0.99,33,30,17,20
伊春,44,30,43,0.93,17,41,27,15
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,170,128,151,5.23,77,11,7,40
银川,54,25,55,0.7,24,63,47,31
营口,113,84,77,0.95,33,85,72,16
鹰潭,87,64,80,0.64,37,35,14,29
义乌,82,59,112,1.0,64,48,13,20
宜兴,82,60,110,0.55,59,12,7,11
益阳,115,86,104,2.08,45,14,12,7
永州,127,96,133,1.3,44,21,18,15
岳阳,64,45,59,1.02,29,42,30,11
玉林,103,76,117,1.33,42,67,33,24
榆林,56,21,60,0.94,45,37,17,25
运城,212,161,209,3.1,62,31,14,51
云浮,94,70,85,1.27,82,52,16,33
玉树州,53,29,53,0.9,11,49,24,10
玉溪,45,29,44,1.5,15,39,12,6
枣庄,182,137,180,1.18,42,58,27,38
张家港,76,55,61,0.95,69,6,10,9
张家界,56,39,50,0.73,17,29,20,3
张家口,63,25,74,0.52,10,58,32,7
章丘,40,18,39,0.6,18,63,47,14
张掖,38,23,37,0.45,24,53,26,13
漳州,72,41,91,0.6,42,38,32,11
湛江,103,76,69,1.1,26,86,90,21
肇庆,76,55,87,1.13,59,67,26,16
昭通,100,75,119,0.9,29,54,17,24
招远,0,0,0,0.0,0,0,0,0
郑州,113,84,93,1.05,43,55,33,13
镇江,89,66,83,0.88,45,29,8,8
中山,124,93,139,1.13,125,48,15,12
中卫,28,10,26,0.37,11,79,55,10
周口,104,77,93,0.73,18,59,41,7
舟山,26,12,25,0.43,28,55,34,7
珠海,73,52,94,0.93,62,72,45,5
诸暨,47,22,46,0.55,29,57,27,5
驻马店,88,65,75,0.63,15,61,37,6
株洲,103,76,93,1.53,42,25,19,19
淄博,43,17,42,0.62,19,78,51,15
自贡,117,88,116,1.08,43,13,5,8
资阳,69,49,72,0.78,30,24,8,11
遵义,39,26,38,0.97,27,17,19,25
